,Name,Year,Salary
8966,Ryan Clark,2006,2300000
9301,Owen Daniels,2006,645000
9281,Matt Schaub,2006,425000
10160,Jonathan Babineaux,2006,350000
909,Osi Umenyiora,2006,10150000
10123,Derek Anderson,2006,340883
8835,Heath Miller,2006,1823000
9454,David Stewart,2006,350000
10023,Barry Cofield,2006,679625
9030,Antonio Smith,2006,425000
10001,Kevin Williams,2006,7042000
8760,Brett Keisel,2006,4350000
878,Julius Peppers,2006,10865000
1018,Tim Jennings,2006,480000
9926,Kyle Williams,2006,468000
8851,Ike Taylor,2006,5585000
845,Jay Cutler,2006,1550000
1061,Andrew Whitworth,2006,1630000
9976,Randy Starks,2006,425000
9127,Chris Myers,2006,350000
8990,Troy Polamalu,2006,1602000
9596,Nate Washington,2006,350000
10016,Richard Seymour,2006,12685000
8740,Ben Roethlisberger,2006,2582000
955,Tony Romo,2006,3180000
9511,Kamerion Wimbley,2006,2215000
9692,Charlie Johnson,2006,357300
5507,Josh McCown,2006,4000000
8302,Roman Harper,2006,1264000
3724,Anthony Fasano,2006,1735000
3805,Dimitri Patterson,2006,4700
3825,Ed Reed,2006,8085000
3897,Kevin Burnett,2006,912500
3985,Richie Incognito,2006,275000
4101,Dwan Edwards,2006,425000
4134,DeMeco Ryans,2006,2350000
4191,Evan Mathis,2006,350000
4226,Jason Peters,2006,3250000
4295,Michael Vick,2006,8400000
4367,Todd Herremans,2006,3350000
4377,Trent Cole,2006,6350000
4389,Alex Smith,2006,9350000
4433,Asante Samuel,2006,756600
4477,Lorenzo Alexander,2006,61100
31130,Jason Elam,2006,1800000
4599,Matt Bryant,2006,2300000
4649,Roddy White,2006,4062500
4700,Tyson Clabo,2006,275000
4731,James Harrison,2006,1800000
1696,D'Qwell Jackson,2006,750000
4744,Antrel Rolle,2006,11110000
4761,Chris Snee,2006,480000
4770,Corey Webster,2006,600000
4783,David Baas,2006,1150000
4814,Eli Manning,2006,1641000
4869,Justin Tuck,2006,350000
3631,Miles Austin,2006,291400
4912,Mathias Kiwanuka,2006,1080000
3594,Kyle Orton,2006,350000
3546,Jason Hatcher,2006,887500
2148,Dunta Robinson,2006,425000
2181,Vincent Jackson,2006,350000
2229,Karlos Dansby,2006,425000
2244,Carson Palmer,2006,15750000
2259,Terence Newman,2006,860917
2306,Darnell Dockett,2006,3925000
2322,Daryn Colledge,2006,1965000
2398,Larry Fitzgerald,2006,3317500
2527,Antonio Gates,2006,3660000
2552,Charlie Whitehurst,2006,983000
2619,Jarret Johnson,2006,1573000
2628,Jeromey Clary,2006,79900
2689,Malcom Floyd,2006,425000
2730,Nick Hardwick,2006,3400000
2741,Philip Rivers,2006,3240000
2809,George Wilson,2006,20588
2834,Derrick Johnson,2006,6170000
2963,Frostee Rucker,2006,895000
1958,Davin Joseph,2006,1860000
3026,Tamba Hali,2006,2280000
3059,Adam Vinatieri,2006,4480000
3090,Antoine Bethea,2006,344000
3146,Cory Redding,2006,1573000
8,Peyton Manning,2006,10000000
3289,Reggie Wayne,2006,15100000
3310,Robert Mathis,2006,8600000
3478,DeMarcus Ware,2006,7510000
3559,Jason Witten,2006,6500000
5109,Jason Babin,2006,654003
5120,Jeremy Mincey,2006,48529
5189,Marcedes Lewis,2006,990000
7088,Cortland Finnegan,2006,317875
1349,Reggie Bush,2006,6500000
7210,Ryan Fitzpatrick,2006,350000
7283,Scott Wells,2006,3925000
7300,Steven Jackson,2006,502500
7340,Jason Campbell,2006,4360000
7352,Anquan Boldin,2006,6750000
7447,Haloti Ngata,2006,3140000
29947,Marshall Faulk,2006,1000000
7574,Shane Lechler,2006,1500000
7624,Terrell Suggs,2006,500000
7713,Chris Chester,2006,1335000
7843,London Fletcher,2006,4100000
7921,Santana Moss,2006,8910000
7930,Stephen Bowen,2006,129412
7977,Will Montgomery,2006,308500
8033,Brodrick Bunkley,2006,1316000
8070,Ben Watson,2006,460000
8100,Darren Sproles,2006,195000
51,Champ Bailey,2006,12006100
8127,Drew Brees,2006,10000000
8154,Jabari Greer,2006,425000
8162,Jahri Evans,2006,621300
8199,Will Smith,2006,500000
1157,Domata Peko,2006,682000
8210,Jon Dorenbos,2006,147059
8261,Marques Colston,2006,299600
6981,Sebastian Janikowski,2006,1100000
6939,Mike Brisiel,2006,56405
6792,Tom Brady,2006,16000000
6768,Steve Gregory,2006,226471
5212,Maurice Jones-Drew,2006,1030000
5289,Antonio Cromartie,2006,2525000
5301,Robert Geathers,2006,425000
5376,D'Brickashaw Ferguson,2006,2350000
5427,Eric Smith,2006,847500
5550,Nick Mangold,2006,1834000
5566,Santonio Holmes,2006,2335000
1559,Mario Williams,2006,6400000
5631,Manny Lawson,2006,1790000
5722,Nate Burleson,2006,5250000
5743,Rob Sims,2006,665000
5763,Shaun Hill,2006,585000
5774,Stephen Tulloch,2006,704500
8354,Zach Strief,2006,320930
5807,Aaron Rodgers,2006,3360000
1486,Fred Jackson,2006,79900
6103,Ryan Pickett,2006,6500000
6138,Tramon Williams,2006,23500
1476,Erik Pears,2006,275000
6236,DeAngelo Williams,2006,980000
6350,Jordan Gross,2006,1539000
31114,Tom Nalen,2006,4550000
6438,Steve Smith,2006,2800000
6451,Thomas Davis,2006,6135000
6524,Dan Connolly,2006,310000
6610,Logan Mankins,2006,1770000
6708,Rob Ninkovich,2006,341044
6746,Stephen Gostkowski,2006,700000
5986,John Kuhn,2006,145588
10190,Vince Wilfork,2006,440000
8222,Lance Moore,2006,105600
10994,Willie Colon,2006,558500
740,Brandon Marshall,2006,695000
10596,Wes Welker,2006,425000
10965,Phil Dawson,2006,1750000
28200,Kurt Warner,2006,7000000
13651,Daryl Smith,2006,425000
26210,Jonathan Ogden,2006,4700000
23804,Jimmy Kennedy,2006,600000
11009,Elvis Dumervil,2006,674000
10570,Mike Nugent,2006,825000
14002,Kellen Winslow,2006,950000)
26191,Michael Strahan,2006,5000000
11304,Tommy Kelly,2006,425000
13110,John Abraham,2006,15500000
10559,Tony Gonzalez,2006,4981250
26176,Warren Sapp,2006,4600000
237,Mike Adams,2006,425000
26303,Shaun Alexander,2006,15125000
410,Carlos Rogers,2006,8300000
10515,Chris Canty,2006,310000
23823,Donovan McNabb,2006,5500000
94,Chris Kuper,2006,430000
23747,Albert Haynesworth,2006,646251
28277,Drew Bledsoe,2006,4000000
