playerName,playerId,year,team,salary,signingBonus,rosterBonus,workoutBonus,restructureBonus,optionBonus,incentive,totalCash
Malcolm Smith,7965,2017,49erslogo,"$2,000,000","$7,000,000","$250,000","$50,000",-,-,-,"$9,300,000"
Malcolm Smith,7965,2018,49erslogo,"$3,000,000",-,"$250,000","$50,000",-,-,-,"$3,300,000"
Malcolm Smith,7965,2019,49erslogo,"$3,750,000",-,"$250,000","$50,000",-,-,-,"$4,050,000"
Malcolm Smith,7965,2020,49erslogo,"$4,400,000",-,"$250,000","$50,000",-,-,-,"$4,700,000"
Malcolm Smith,7965,2021,49erslogo,"$4,850,000",-,"$250,000","$50,000",-,-,-,"$5,150,000"
Kevin Norwood,14534,2014,hawks3,"$420,000","$420,108",-,-,-,-,-,"$840,108"
Kevin Norwood,14534,2015,panthers,"$510,000",-,-,-,-,-,"$5,396","$515,396"
Kevin Norwood,14534,2016,chargers2,"$27,600",-,-,-,-,-,-,"$27,600"
Kevin Norwood,14534,2016,nygiants,"$55,200",-,-,-,-,-,-,"$55,200"
Kevin Norwood,14534,2017,nygiants,"$615,000",-,-,-,-,-,-,"$615,000"
Derek Rivers,21825,2017,patriots,"$348,000","$802,896",-,-,-,-,-,"$1,150,896"
Derek Rivers,21825,2018,patriots,"$555,000",-,-,"$28,000",-,-,-,"$583,000"
Derek Rivers,21825,2019,patriots,"$645,000",-,-,"$35,000",-,-,-,"$680,000"
Derek Rivers,21825,2020,patriots,"$735,000",-,-,"$39,000",-,-,-,"$774,000"
Isaiah Battle,default-person,2015,rams2,-,"$228,864",-,-,-,-,-,"$228,864"
Isaiah Battle,default-person,2015,rams2,"$66,000",-,-,-,-,-,-,"$66,000"
Isaiah Battle,default-person,2015,rams2,"$179,117",-,-,-,-,-,-,"$179,117"
Isaiah Battle,default-person,2016,rams2,"$117,300",-,-,-,-,-,-,"$117,300"
Isaiah Battle,default-person,2017,hawks3,"$540,000",-,-,-,-,-,-,"$540,000"
Isaiah Battle,default-person,2017,kansascity,-,"$30,000",-,-,-,-,-,"$30,000"
Lorenzo Mauldin,16806,2015,jets,"$435,000","$674,017",-,-,-,-,"$115,544","$1,224,561"
Lorenzo Mauldin,16806,2016,jets,"$543,000",-,-,-,-,-,-,"$543,000"
Lorenzo Mauldin,16806,2017,jets,"$633,000",-,-,-,-,-,-,"$633,000"
Lorenzo Mauldin,16806,2018,jets,"$723,000",-,-,-,-,-,-,"$723,000"
Ronald Zamort,19684,2016,arizona2,"$13,800",-,-,-,-,-,-,"$13,800"
Ronald Zamort,19684,2017,arizona2,"$348,000",-,-,-,-,-,-,"$348,000"
Thurston Armbrister,17138,2015,jaguars,"$435,000","$12,500",-,-,-,-,"$142,511","$590,011"
Thurston Armbrister,17138,2016,lions,"$525,000",-,-,-,-,-,-,"$525,000"
Thurston Armbrister,17138,2017,lions,"$21,600",-,-,-,-,-,-,"$21,600"
Thurston Armbrister,17138,2017,lions,"$72,353",-,-,-,-,-,-,"$72,352"
Thurston Armbrister,17138,2017,lions,"$86,400",-,-,-,-,-,-,"$86,400"
Kellen Clemens,4221,2006,jets,"$275,000","$1,610,000",-,-,-,-,-,"$1,885,000"
Kellen Clemens,4221,2007,jets,"$360,000",-,-,-,-,-,-,"$360,000"
Kellen Clemens,4221,2008,jets,"$445,000",-,-,-,-,-,-,"$445,000"
Kellen Clemens,4221,2009,jets,"$535,000",-,-,-,-,-,-,"$535,000"
Kellen Clemens,4221,2010,jets,"$700,000",-,-,-,-,-,-,"$700,000"
Kellen Clemens,4221,2011,washington,"$685,000",-,-,-,-,-,-,"$685,000"
Kellen Clemens,4221,2012,rams2,"$700,000","$10,000",-,-,-,-,-,"$710,000"
Kellen Clemens,4221,2013,rams2,"$840,000","$30,000",-,-,-,-,-,"$870,000"
Kellen Clemens,4221,2014,chargers2,"$855,000","$645,000",-,-,-,-,-,"$1,500,000"
Kellen Clemens,4221,2015,chargers2,"$1,250,000",-,"$250,000",-,-,-,"$1,154","$1,501,154"
Kellen Clemens,4221,2016,chargers2,"$985,000","$80,000",-,-,-,-,-,"$1,065,000"
Kellen Clemens,4221,2017,NFL_Chargers_logo.svg_,-,"$80,000",-,-,-,-,-,"$80,000"
Kellen Clemens,4221,2017,NFL_Chargers_logo.svg_,"$1,000,000",-,-,-,-,-,-,"$1,000,000"
Ryan Tannehill,9818,2012,dolphins,"$390,000","$7,653,456",-,-,-,-,-,"$8,043,456"
Ryan Tannehill,9818,2013,dolphins,"$480,000",-,"$485,841",-,-,-,-,"$965,841"
Ryan Tannehill,9818,2014,dolphins,"$570,000",-,"$971,682",-,-,-,-,"$1,541,682"
Ryan Tannehill,9818,2015,dolphins,"$660,000","$11,500,000",-,-,-,-,-,"$12,160,000"
Ryan Tannehill,9818,2016,dolphins,"$9,340,000",-,-,-,-,-,-,"$9,340,000"
Ryan Tannehill,9818,2017,dolphins,"$17,975,000",-,-,"$25,000",-,-,-,"$18,000,000"
Ryan Tannehill,9818,2018,dolphins,"$17,475,000",-,-,"$25,000",-,-,-,"$17,500,000"
Ryan Tannehill,9818,2019,dolphins,"$18,725,000",-,-,"$25,000",-,-,-,"$18,750,000"
Ryan Tannehill,9818,2020,dolphins,"$19,497,000",-,-,"$25,000",-,-,-,"$19,522,000"
