,Name,Year,Salary
1996,Austin Howard,2012,"$540,000"
2011,Sam Koch,2012,"$1,600,000"
259,Malcolm Smith,2012,"$465,000"
2911,Brandon Graham,2012,"$827,500"
107,Joe Hawley,2012,"$540,000"
2197,Buster Skrine,2012,"$465,000"
1034,Rodger Saffold,2012,"$750,000"
119,Derek Newton,2012,"$465,000"
2184,Danny Woodhead,2012,"$750,000"
2167,Clint Boling,2012,"$465,000"
994,Jason McCourty,2012,"$12,000,000"
2158,Logan Paulsen,2012,"$540,000"
2146,Dustin Colquitt,2012,"$1,825,000"
2224,Robert Quinn,2012,"$803,941"
1026,Darren Sproles,2012,"$3,500,000"
2241,Ndamukong Suh,2012,"$10,375,000"
2886,Jason Witten,2012,"$4,641,000"
2401,Jerry Hughes,2012,"$635,000"
2685,Justin Tucker,2012,"$390,000"
2233,J.T. Thomas,2012,"$390,000"
196,Colt McCoy,2012,"$540,000"
2087,Donald Penn,2012,"$6,100,000"
2070,Julian Stanford,2012,"$395,000"
2059,Matthew Stafford,2012,"$11,500,000"
226,Cedric Peerman,2012,"$540,000"
2663,Jimmy Smith,2012,"$714,168"
2035,Lamar Miller,2012,"$876,000"
2024,Josh Sitton,2012,"$3,650,000"
2862,Corey Graham,2012,"$1,900,000"
170,Brandon Weeden,2012,"$4,708,000"
409,Stevan Ridley,2012,"$509,250"
1636,Julio Jones,2012,"$1,110,625"
1754,Frank Zombo,2012,"$490,000"
1541,Rhett Ellison,2012,"$690,584"
2552,Tyson Alualu,2012,"$1,362,500"
1770,Marcus Cannon,2012,"$481,281"
1535,Matt Overton,2012,"$390,000"
1134,Terrell Suggs,2012,"$4,900,000"
1529,Jamaal Charles,2012,"$3,500,000"
2778,Nathan Stupar,2012,"$50,352"
580,Nigel Bradham,2012,"$847,424"
1518,Jerrell Freeman,2012,"$395,000"
586,Kelechi Osemele,2012,"$1,263,360"
2650,Bruce Irvin,2012,"$5,316,428"
1506,Kenny Wiggins,2012,"$96,900"
1494,Julius Thomas,2012,"$465,000"
1162,Tahir Whitehead,2012,"$602,000"
1481,Wesley Woodyard,2012,"$2,000,000"
2772,Darius Butler,2012,"$795,000"
610,Dwayne Allen,2012,"$1,093,304"
1467,Korey Toomer,2012,"$188,000"
624,Michael Crabtree,2012,"$4,000,000"
1184,Kyle Wilber,2012,"$829,220"
1458,Marquette King,2012,"$391,000"
2258,Ben Roethlisberger,2012,"$11,600,000"
633,Luke Stocker,2012,"$465,000"
1010,Muhammad Wilkerson,2012,"$687,500"
639,Trumaine Johnson,2012,"$1,061,176"
550,Greg Van Roten,2012,"$121,875"
1560,Steve McLendon,2012,"$540,000"
904,Brandon Fusco,2012,"$474,639"
1578,Orlando Scandrick,2012,"$6,875,000"
2701,Sean McGrath,2012,"$390,000"
1655,Josh Bynes,2012,"$243,750"
444,Robert Turbin,2012,"$846,456"
2525,Mike Windt,2012,"$540,000"
1737,Aqib Talib,2012,"$1,852,500"
2806,Matt Schaub,2012,"$21,900,000"
2813,Beau Brinkley,2012,"$410,000"
1745,Cole Beasley,2012,"$391,500"
452,Brad Nortman,2012,"$468,680"
922,Maurkice Pouncey,2012,"$766,125"
936,Linval Joseph,2012,"$540,000"
1646,Anthony Castonzo,2012,"$738,686"
1625,William Hayes,2012,"$900,000"
1610,Jah Reid,2012,"$465,000"
499,Julian Edelman,2012,"$615,000"
511,Jamize Olawale,2012,"$73,125"
911,Doug Baldwin,2012,"$465,000"
1119,Connor Barth,2012,"$4,450,000"
518,Jermey Parnell,2012,"$1,540,000"
1726,Taiwan Jones,2012,"$465,000"
1185,Kyle Wilber,2013,"$480,000"
1035,Rodger Saffold,2013,"$880,000"
1100,Marcedes Lewis,2013,"$4,350,000"
1027,Darren Sproles,2013,"$3,000,000"
1156,Emmett Cleary,2013,"$20,000"
1120,Connor Barth,2013,"$500,000"
2651,Bruce Irvin,2013,"$622,946"
1080,Patrick Chung,2013,"$3,000,000"
1141,Jordan Hill,2013,"$949,140"
1042,Vince Williams,2013,"$483,680"
2664,Jimmy Smith,2013,"$1,053,336"
1203,Brandon Brooks,2013,"$500,000"
1051,DeAndre Hopkins,2013,"$4,331,692"
1135,Terrell Suggs,2013,"$6,400,000"
1212,Danny Trevathan,2013,"$480,000"
1193,Nate Allen,2013,"$697,000"
1163,Tahir Whitehead,2013,"$480,000"
2623,Antoine Bethea,2013,"$4,750,000"
1176,Darius Slay,2013,"$2,631,764"
2610,Brian Hoyer,2013,"$715,000"
1997,Austin Howard,2013,"$2,023,000"
1988,Fozzy Whittaker,2013,"$95,294"
1987,Fozzy Whittaker,2013,"$309,705"
2428,Cam Newton,2013,"$2,377,318"
1978,Ed Dickson,2013,"$1,323,000"
1970,Tony Bergstrom,2013,"$480,000"
2438,Dan Bailey,2013,"$555,000"
1937,John Cyprien,2013,"$2,762,528"
1923,Byron Bell,2013,"$555,000"
1916,Patrick Omameh,2013,"$30,000"
2012,Sam Koch,2013,"$1,900,000"
1915,Patrick Omameh,2013,"$3,000"
2454,Bobby Wagner,2013,"$585,809"
1908,Brandon Bolden,2013,"$480,000"
1884,Travis Benjamin,2013,"$480,000"
1878,Justin Bethel,2013,"$480,000"
2466,David DeCastro,2013,"$745,177"
1870,Bryan Bulaga,2013,"$962,000"
1850,Morgan Cox,2013,"$880,000"
1832,Brian Winters,2013,"$1,048,876"
1808,Drew Brees,2013,"$10,000,000"
2495,Star Lotulelei,2013,"$5,770,092"
1914,Patrick Omameh,2013,"$285,882"
1771,Marcus Cannon,2013,"$587,562"
2025,Josh Sitton,2013,"$4,350,000"
2416,Desmond Trufant,2013,"$4,723,980"
2320,Benny Cunningham,2013,"$415,000"
2312,Paul Posluszny,2013,"$6,500,000"
2275,Mike Gillislee,2013,"$567,800"
2357,Larry Fitzgerald,2013,"$5,250,000"
2259,Ben Roethlisberger,2013,"$11,600,000"
2242,Ndamukong Suh,2013,"$12,275,000"
2234,J.T. Thomas,2013,"$480,000"
2225,Robert Quinn,2013,"$1,232,829"
2369,Morgan Burnett,2013,"$9,573,000"
2212,C.J. Anderson,2013,"$417,500"
2036,Lamar Miller,2013,"$480,000"
2198,Buster Skrine,2013,"$555,000"
2168,Clint Boling,2013,"$555,000"
2159,Logan Paulsen,2013,"$1,730,000"
2147,Dustin Colquitt,2013,"$5,050,000"
2126,Latavius Murray,2013,"$394,200"
2402,Jerry Hughes,2013,"$870,000"
2403,Jerry Hughes,2013,"$1,552,500"
2088,Donald Penn,2013,"$6,000,000"
2071,Julian Stanford,2013,"$112,941"
2060,Matthew Stafford,2013,"$18,500,000"
2047,Sheldon Richardson,2013,"$5,762,176"
2185,Danny Woodhead,2013,"$1,750,000"
1761,Kenny Stills,2013,"$599,452"
1755,Frank Zombo,2013,"$650,000"
2500,Kerwynn Williams,2013,"$50,352"
1482,Wesley Woodyard,2013,"$3,000,000"
1468,Korey Toomer,2013,"$102,000"
1459,Marquette King,2013,"$405,000"
1437,Shamarko Thomas,2013,"$858,152"
1432,Adam Vinatieri,2013,"$2,200,000"
1408,Andre Holmes,2013,"$424,412"
1393,Kevin Zeitler,2013,"$732,918"
2583,Mike Adams,2013,"$2,000,000"
1377,Adam-Pacman Jones,2013,"$2,100,000"
1362,Brett Kern,2013,"$821,500"
1495,Julius Thomas,2013,"$555,000"
1343,Marcus Burley,2013,"$2,000"
1341,Marcus Burley,2013,"$41,824"
1330,Charles Clay,2013,"$555,000"
1319,Stephen Paea,2013,"$710,082"
1310,Russell Shepard,2013,"$7,500"
1309,Russell Shepard,2013,"$391,235"
1302,Dion Sims,2013,"$872,552"
2600,Derrick Morgan,2013,"$1,160,000"
1278,Garrett Celek,2013,"$480,000"
1256,Chris Hogan,2013,"$405,000"
1247,Justin Durant,2013,"$1,150,000"
1342,Marcus Burley,2013,"$36,000"
1507,Kenny Wiggins,2013,"$142,941"
1508,Kenny Wiggins,2013,"$83,824"
1519,Jerrell Freeman,2013,"$480,000"
1746,Cole Beasley,2013,"$480,000"
2501,Kerwynn Williams,2013,"$65,647"
1738,Aqib Talib,2013,"$4,882,813"
1727,Taiwan Jones,2013,"$555,000"
1717,Jordan Mills,2013,"$569,800"
1683,Kevin Minter,2013,"$1,977,944"
1656,Josh Bynes,2013,"$480,000"
1647,Anthony Castonzo,2013,"$1,102,372"
2526,Mike Windt,2013,"$1,080,000"
1637,Julio Jones,2013,"$1,846,250"
1626,William Hayes,2013,"$4,550,000"
1611,Jah Reid,2013,"$555,000"
2534,Steven Terrell,2013,"$12,000"
1597,Jordan Poyer,2013,"$166,765"
1596,Jordan Poyer,2013,"$60,256"
1595,Jordan Poyer,2013,"$238,235"
1579,Orlando Scandrick,2013,"$2,000,000"
2541,Le'Veon Bell,2013,"$1,741,305"
1561,Steve McLendon,2013,"$2,575,000"
1542,Rhett Ellison,2013,"$480,000"
1536,Matt Overton,2013,"$480,000"
2553,Tyson Alualu,2013,"$2,072,500"
1530,Jamaal Charles,2013,"$3,000,000"
1235,Menelik Watson,2013,"$2,272,164"
2535,Steven Terrell,2013,"$2,500"
2342,Cordarrelle Patterson,2013,"$4,036,672"
658,Nick Bellore,2013,"$555,000"
85,Harry Douglas,2013,"$2,750,000"
2807,Matt Schaub,2013,"$7,250,000"
71,Eric Kush,2013,"$530,116"
779,Patrick Peterson,2013,"$2,050,409"
2738,Fletcher Cox,2013,"$855,509"
611,Dwayne Allen,2013,"$527,000"
905,Brandon Fusco,2013,"$565,361"
346,Sam Young,2013,"$185,295"
55,Will Compton,2013,"$5,000"
2773,Darius Butler,2013,"$2,000,000"
860,Matt Forte,2013,"$6,268,750"
923,Maurkice Pouncey,2013,"$1,127,250"
625,Michael Crabtree,2013,"$5,000,000"
2844,George Johnson,2013,"$222,353"
937,Linval Joseph,2013,"$630,000"
