SEASON,PLAYER_ID,PLAYER_NAME,AGE,TM,LG,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1931,conneal01,Alec Connell,28,OTS,NHL,36,,10,22,4,110,,,,3.01,3,2.8,2190,,,,,,0,0,0,0
1931,cudewi01,Wilf Cude,20,PHQ,NHL,29,,2,23,3,130,,,,4.38,1,-2.6,1779,,,,,,0,0,0,0
1931,dolsodo01,Dolly Dolson,33,DTF,NHL,44,,16,21,7,105,,,,2.29,6,7.5,2750,,,,,,0,0,0,0
1931,forbeja01,Jake Forbes,33,PHQ,NHL,2,,0,2,0,7,,,,3.5,0,0,120,,,,,,0,0,0,0
1931,gardich01,Charlie Gardiner,26,CBH,NHL,44,,24,17,3,78,,,,1.73,12,10.4,2710,,,,,,0,0,0,0
1931,grantbe01,Benny Grant,22,TOR,NHL,7,,1,5,1,19,,,,2.65,2,0.9,430,,,,,,0,0,0,0
1931,hainsge01,George Hainsworth,35,MTL,NHL,44,,26,10,8,89,,,,1.95,8,9.3,2740,,,,,,0,0,0,0
1931,kerrda01,Dave Kerr,21,MTM,NHL,31,,14,12,4,71,,,,2.33,1,4.9,1830,,,,,,0,0,0,0
1931,millejo01,Joe Miller,30,PHQ,NHL,15,,2,11,1,47,,,,3.43,0,0.4,821,,,,,,0,0,0,0
1931,roachjo01,John Ross Roach,30,NYR,NHL,44,,19,16,9,87,,,,1.89,7,9.7,2760,,,,,,0,1,1,0
1931,thompti01,Tiny Thompson,27,BOS,NHL,44,,28,10,6,90,,,,1.98,3,9.1,2730,,,,,,0,0,0,0
1931,walshfl01,Flat Walsh,33,MTM,NHL,16,,6,6,2,35,,,,2.33,2,2.4,900,,,,,,0,0,0,0
1931,wortero01,Roy Worters,30,NYA,NHL,44,,18,16,10,74,,,,1.61,8,11.3,2760,,,,,,0,0,0,0
1932,chabolo01,Lorne Chabot,31,TOR,NHL,44,,21,16,6,106,,,,2.36,4,7.3,2698,,,,,,0,0,0,2
1932,clancki01,King Clancy,28,TOR,NHL,1,,0,0,0,1,,,,60,0,-0.1,1,,,,,,10,9,19,59
1932,conneal01,Alec Connell,29,DTF,NHL,48,,18,20,10,108,,,,2.13,6,9.5,3040,,,,,,0,0,0,0
1932,cudewi01,Wilf Cude,21,BOS,NHL,2,,1,1,0,6,,,,3,1,0.2,120,,,,,,0,,,
1932,cudewi01,Wilf Cude,21,CBH,NHL,1,,0,1,0,9,,,,13.17,0,-0.7,41,,,,,,0,,,
1932,forbeja01,Jake Forbes,34,NYA,NHL,6,,3,3,0,16,,,,2.67,0,0.8,360,,,,,,0,0,0,0
1932,gardich01,Charlie Gardiner,27,CBH,NHL,48,,18,18,11,92,,,,1.85,4,11,2989,,,,,,0,0,0,0
1932,grantbe01,Benny Grant,23,TOR,NHL,5,,2,2,1,18,,,,3.39,0,0.2,319,,,,,,0,0,0,0
1932,hainsge01,George Hainsworth,36,MTL,NHL,48,,25,15,7,110,,,,2.19,6,9,3008,,,,,,0,0,0,2
1932,hornere01,Red Horner,22,TOR,NHL,1,,0,0,0,1,,,,60,0,-0.1,1,,,,,,7,9,16,109
1932,jackspe01,Percy Jackson,24,BOS,NHL,4,,1,1,1,8,,,,2.09,0,0.7,230,,,,,,0,0,0,0
