,Year,Name,Age,Team,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Pos,Salary
1425,2016,Corey Crawford,31,CHI,58,58.0,35.0,18.0,5.0,131,1718.0,1587.0,0.924,2.37,7,12.0,3323,40.0,0.69,9.0,90.0,15.27,0,1.0,1.0,2.0,G,6000000.0
1426,2016,Yann Danis,34,NJD,2,0.0,0.0,1.0,0.0,4,18.0,14.0,0.778,4.75,0,-0.2,51,0.0,,0.0,,,0,0.0,0.0,0.0,G,
1427,2016,Scott Darling,27,CHI,29,24.0,12.0,8.0,4.0,67,784.0,717.0,0.915,2.58,1,4.6,1560,13.0,0.542,5.0,100.0,-0.25,0,0.0,0.0,0.0,G,600000.0
1428,2016,Louis Domingue,23,ARI,39,36.0,15.0,18.0,5.0,101,1142.0,1041.0,0.912,2.75,2,6.3,2206,20.0,0.556,5.0,104.0,-3.77,0,1.0,1.0,0.0,G,1000000.0
1429,2016,Chris Driedger,21,OTT,1,0.0,0.0,0.0,0.0,0,11.0,11.0,1.0,0.0,0,0.2,32,0.0,,0.0,,,0,0.0,0.0,0.0,G,
1430,2016,Devan Dubnyk,29,MIN,67,66.0,32.0,26.0,6.0,150,1829.0,1679.0,0.918,2.33,5,11.5,3861,34.0,0.515,5.0,96.0,5.73,0,0.0,0.0,8.0,G,5000000.0
1431,2016,Brian Elliott,30,STL,42,38.0,23.0,8.0,6.0,78,1113.0,1035.0,0.93,2.07,4,8.6,2261,26.0,0.684,6.0,82.0,16.76,0,0.0,0.0,2.0,G,2700000.0
1432,2016,Jhonas Enroth,27,LAK,16,13.0,7.0,5.0,1.0,31,398.0,367.0,0.922,2.17,2,2.7,856,8.0,0.615,1.0,91.0,2.89,0,0.0,0.0,0.0,G,
1433,2016,Marc-Andre Fleury,31,PIT,58,58.0,35.0,17.0,6.0,132,1665.0,1533.0,0.921,2.29,5,11.0,3463,33.0,0.569,5.0,93.0,9.76,0,1.0,1.0,2.0,G,5750000.0
1434,2016,Anton Forsberg,23,CBJ,4,3.0,1.0,3.0,0.0,9,97.0,88.0,0.907,3.03,0,0.5,178,1.0,0.333,0.0,,,0,0.0,0.0,0.0,G,
1435,2016,Christopher Gibson,23,NYI,4,2.0,1.0,1.0,1.0,11,93.0,82.0,0.882,3.4,0,0.2,194,0.0,0.0,1.0,,,0,0.0,0.0,0.0,G,
1436,2016,John Gibson,22,ANA,40,38.0,21.0,13.0,4.0,79,992.0,913.0,0.92,2.07,4,6.5,2295,21.0,0.553,3.0,94.0,5.46,0,1.0,1.0,2.0,G,1500000.0
1437,2016,Thomas Greiss,30,NYI,41,38.0,23.0,11.0,4.0,90,1197.0,1107.0,0.925,2.36,1,8.5,2287,22.0,0.579,2.0,88.0,11.92,0,1.0,1.0,2.0,G,2000000.0
1438,2016,Philipp Grubauer,24,WSH,22,16.0,8.0,9.0,1.0,43,523.0,480.0,0.918,2.32,0,3.3,1111,7.0,0.438,2.0,97.0,1.53,0,0.0,0.0,2.0,G,850000.0
1439,2016,Kristers Gudlevskis,23,TBL,1,1.0,0.0,0.0,1.0,1,32.0,31.0,0.969,1.0,0,0.4,60,1.0,1.0,0.0,,,0,0.0,0.0,0.0,G,
1440,2016,Jonas Gustavsson,31,BOS,24,20.0,11.0,9.0,1.0,57,622.0,565.0,0.908,2.72,1,3.2,1258,9.0,0.45,2.0,108.0,-4.04,0,0.0,0.0,0.0,G,
1441,2016,Jaroslav Halak,30,NYI,36,36.0,18.0,13.0,4.0,80,984.0,904.0,0.919,2.3,3,6.3,2091,21.0,0.583,6.0,95.0,3.78,0,1.0,1.0,0.0,G,
1442,2016,Andrew Hammond,27,OTT,24,21.0,7.0,11.0,4.0,61,712.0,651.0,0.914,2.65,1,4.2,1382,13.0,0.619,1.0,101.0,-0.38,0,0.0,0.0,2.0,G,1350000.0
1443,2016,Magnus Hellberg,24,NYR,1,0.0,0.0,0.0,0.0,2,6.0,4.0,0.667,6.0,0,-0.1,20,0.0,,0.0,,,0,0.0,0.0,0.0,G,
1444,2016,Connor Hellebuyck,22,WPG,26,26.0,13.0,11.0,1.0,56,683.0,627.0,0.918,2.34,2,4.3,1433,14.0,0.538,6.0,96.0,2.15,0,0.0,0.0,0.0,G,692500.0
1445,2016,Jonas Hiller,33,CGY,26,23.0,9.0,11.0,1.0,79,654.0,575.0,0.879,3.51,1,1.1,1351,7.0,0.304,8.0,142.0,-23.32,0,0.0,0.0,0.0,G,
1446,2016,Braden Holtby,26,WSH,66,66.0,48.0,9.0,7.0,141,1802.0,1661.0,0.922,2.2,3,12.1,3841,42.0,0.636,6.0,92.0,12.43,0,1.0,1.0,6.0,G,7000000.0
1447,2016,Jimmy Howard,31,DET,37,33.0,14.0,14.0,5.0,92,979.0,887.0,0.906,2.8,2,4.8,1974,16.0,0.485,6.0,110.0,-8.65,0,1.0,1.0,2.0,G,5500000.0
1448,2016,Michael Hutchinson,25,WPG,30,25.0,9.0,15.0,3.0,75,805.0,730.0,0.907,2.84,0,4.0,1586,9.0,0.36,3.0,109.0,-6.46,0,0.0,0.0,0.0,G,1000000.0
1449,2016,Carter Hutton,30,NSH,17,15.0,7.0,5.0,4.0,38,464.0,426.0,0.918,2.33,2,2.9,979,7.0,0.467,1.0,96.0,1.51,0,1.0,1.0,0.0,G,1250000.0
1450,2016,Chad Johnson,29,BUF,45,40.0,22.0,16.0,4.0,102,1270.0,1168.0,0.92,2.36,1,8.2,2591,23.0,0.575,3.0,94.0,6.13,0,2.0,2.0,0.0,G,1700000.0
1451,2016,Martin Jones,26,SJS,65,65.0,37.0,23.0,4.0,143,1734.0,1591.0,0.918,2.27,6,10.8,3786,36.0,0.554,9.0,97.0,4.64,0,0.0,0.0,0.0,G,3000000.0
